Published Date,Titles,Likes,Views,Urls
2021-12-24,HubSpot at $1.5 BILLION in ARR — Growing 49%!!  Here’s How They Did It,49,2379,https://www.youtube.com/watch?v=91OpTemM8-4
2021-12-15,"Samsara at $500,000,000 (!) in ARR ... Growing 72%!  Woah!",76,3610,https://www.youtube.com/watch?v=7uS2ijf5gME
2021-12-08,"Expensify: Product-Led Growth at $200,000,000 in ARR!!",34,2298,https://www.youtube.com/watch?v=MYSknIN0uqw
2021-12-01,"How Snowflake Got To $1 BILLION in ARR, Growing 110%!",35,2167,https://www.youtube.com/watch?v=Q7Kmqy5A2fo
2021-11-25,How BigCos Work With Startups (And Vice Versa): Jason Lemkin SaaStr CXOTalk,55,2394,https://www.youtube.com/watch?v=ff4-cnE7xs0
2021-11-17,10 Ways to Avoid BURNOUT in SaaS.  And Go On and Build a Unicorn.,52,1992,https://www.youtube.com/watch?v=iNJlD-sHhlI
2021-11-10,Datadog is At $1.2 BILLION in ARR -- Growing 75%!!,48,3266,https://www.youtube.com/watch?v=OYKYxmnUJ30
2021-08-17,The Top 10 Interview Questions for a VP of Marketing!,174,8348,https://www.youtube.com/watch?v=v2BNbj7uSBQ
2021-08-06,The 10 Ways to Build a Moat in SaaS,114,5027,https://www.youtube.com/watch?v=xXj9K72pPJ0
2021-07-29,Justin Kan + Jason Lemkin on The Things VCs Say,23,917,https://www.youtube.com/watch?v=UQyUQT-3tvY
2021-06-28,11 Top Tips to Drive Down Churn -- That You Can Implement Right Now!!,40,1768,https://www.youtube.com/watch?v=2NytoiJ0Bvs
2021-06-10,What to Do When You Are Too Early To a New Market,44,1414,https://www.youtube.com/watch?v=xqNtCY17rTE
2021-06-05,ServiceNow at $5 BILLION in ARR!!  How They Do It,54,2343,https://www.youtube.com/watch?v=B_HYDfiVETU
2021-05-28,Palantir is at $1 Billion in ARR!!  Here's How it Got There.,69,2608,https://www.youtube.com/watch?v=ekK4BkggVaI
2021-05-19,"Monday.com Is At $240,000,000 in ARR!  Here’s How They Did It.",75,2982,https://www.youtube.com/watch?v=HbByIW3Noqg
2021-04-22,"Squarespace is at $700,000,000 in ARR!!  5 Top Learnings!",29,1123,https://www.youtube.com/watch?v=R6JwRTcUcOw
2021-04-13,Everything in Sales and Marketing Works After $2m in ARR.  Here's Why.,38,2902,https://www.youtube.com/watch?v=bmoEv4Ih04g
2021-04-08,Slack At $1 BILLION in ARR!!  Growing 40%++,25,1323,https://www.youtube.com/watch?v=fjqr_uHmbaw
2021-04-01,"UiPath Is at $600,000,000 in ARR -- Growing 60%!!",58,3313,https://www.youtube.com/watch?v=-iwek52if6U
